user,ulasan,rating,label,tanggal
Vivo Rosida,"Penipuan ni shopee, dikasih nya notifikasi spinjam, tau2 bunga nya mahal banget, saya coba pinjam 4 juta 500 tapi bunga nya 1 juta 350, perbulannya 975 RB, selama 6 bulan jadi total bunga nya 1juta 350, saya jadi ajukan spinjam buat modal jualan, tapi bunga nya mahal banget, melebihi koprasi aja, saya mau balikan tu uang ga bisa di balikan, kalo mau balikan juga harus nyicil perbulan, terus shoppe tetap dapat untung, gila yaa shopee nipu banget, nyesal saya belanja selama ini.",1,negatif,25 Februari 2021
Zakiyah Fithri Al-hanifah,Halo kak knpa saya tidak bisa mengupdate aplikasi shopee yg baru ya padahal ram dan memori saya masih banyak ni mohon solusinya y kak....🙏🙏🙏,1,negatif,08 Maret 2021
KasK Asnandra,"Terlalu banyak potongan buat seller, sama az lo yg jualan bukan kami yg jualan, dan banyak barang luar negeri yg masuk hancurin UMKM",1,negatif,11 Maret 2021
ahmad zakiyamani mulya,Bintang 1 dulu .soalnya banyak transaksi yg ada poin cashback nya GK di kirim oleh pihak shopee.dan ini sudah lebih dari 1x 24 jam,1,negatif,07 Maret 2021
Asnafa Dinda,Gk suka karna ongkir nya tuhh sampai 42 ribu padahal itu baru ongkir nya aja belum belanjaannya kalo sama pesenanya pasti mahalll bgt apalagi biasanya datangnya itu salah tolong di perbaiki lagi ya tolong yaaa,1,negatif,26 Februari 2021
Muhamad Nizar,"Shopee pelayanan nya jelek masa saya kan mau transfer dari shopee pay ke atm udah 3 hari gak ke kirim kirim, tapi saldo shopee paynya berkurang kan aneh tolong dong di bagusin buat fiturnya",1,negatif,13 Maret 2021
BSN Channel,"gratis ongkir tapi harga barang lebih mahal dari sebelah...sama aja,masih murahan toko sebelah...hahahhaaa",1,negatif,28 Februari 2021
Tyas Juniant,Susah bgt buat bikin alamat baru..saya dibekasi masa titiknya di banten. Mau checkout ga bisa2... sangat mengecewakan,1,negatif,26 Februari 2021
Asaputra,Setelah di update sering banget terjadi kesalahan padahal jaringan bagus dan kuota ada . Kecewa saya sebagai pengguna lama apk shopee,1,negatif,09 Maret 2021
M. Raffa Azka Putra,Promo download app shoppee dapat pulsa gratis 20rb. Stlah didownload mana ada pls gratisnya. Yg ada vocher gratis diskon utk belanja.. andalan saya tetap tokopedia,1,negatif,05 Maret 2021
Kevin Riadi,"Ada BUG pada saat hendak memasukan ONGKIR , tiba tiba berubah menjadi ukuran barang , sudah dimasukin ukurang barang , tetapp tidak bisa di simpan , harus di close app dan input ulang baru bisa lagi, ayolah saya harus kerja 2 kali ini !!!",1,negatif,24 Februari 2021
Rintania Sheva,"Sekarang shope jadi aneh banget, masa ngak bisa pilih ekspedisi pengiriman nya sendiri , voucher gratis ongkir cuma buat shopepay doang",1,negatif,16 Maret 2021
Sahkila Akifa,Maaf saya mau tanya kenapa login shopee pay saya selalu gagal padahal saya sudah isi saldo 150000 mohon minta penjelasan nya dari pihak shopee,1,negatif,16 Maret 2021
Dharma Iyup,"Flash sale apaan, pas refresh sndr malah tbtb abis, hoax S3 marketing, tapi salah penempatannya, mohon koreksi, jangan buat Cs topup sia"" gan, thanks",1,negatif,02 Maret 2021
Arien Kim,"SISTEM EKSPEDISI YG SEKARANG GK BAGUS SAMA SEKALI, GK BISA PILIH2 LG KEMBALIKAN PILIHAN EKSPEDISI YG DULU!! ATAU KAMI PINDAH KE MARKETPLACE YG LAIN!!",1,negatif,16 Maret 2021
Ryanne Stefani,Mau daftar pengajuan freeongkir untuk penjual aja lama dan susah. Ga kaya ecomerce sebelah tinggal klik ga perlu pengajuan2. Ribeeeet banget,1,negatif,07 Maret 2021
Nana wiharna,"Gak bisa masuk ....ah...jelek ..pake akun google gak bisa,akun FB gak bisa,pake no hp gak bisa....",1,negatif,22 Februari 2021
Haji Ape,Makin ribet belanja di shopee harus di foto dulu Ama kurir nya Ngapain sih pake di foto segala kita kalo barang nyampe juga ga perlu di foto GPP ga penting,1,negatif,05 Maret 2021
Arin lutfiah,Kenapa voucher pengguna baru tidak bisa digunakan? Masa tertera voucher sudah digunakan padahal baru banget daftar shopee :'(,1,negatif,10 Maret 2021
Hape Dikasih,"Shopee mending fokus bikin tempat lapak jualan saja! Gak perlu ada jasa ekspedisi shopee exspres, krn jasa shopee exspres sangat buruk, jelek, gak seperti JNT dan JNE. Sekali lagi ekspedisi kalian buruk sangat sangat buruk!!!",1,negatif,19 Februari 2021
Sri Sri,"Sortir dan laporkan ke polisi supaya ada efek jera kalau hanya akunnya di blokir setelah 2x menolak membayar pesanan COD dia bisa daftar akun lagi dgn nomor baru, pembeli2 abal2 pembeli2 penipu yang checkout dgn metode COD yang seenaknya menolak membayar pesanan,penjual di rugikan waktu dan juga uang terlebih bagi penjual sistem jastip seperti saya!!!",1,negatif,12 Maret 2021
Sofi Nida,"ganyaman bgt sekarang shopeenya, masak gada voucher gratong yg biasa, voucher semua khusus buat yg shopeepay/paylater. kl mau co, ongkir bisa sampai 27k. kebanyakan barangnya dr jakarta. kasihan yg dijawa kl mau co!!!!!!",1,negatif,23 Februari 2021
Pengguna Google,"HATI HATI KALO BELANJA ONLINE DISINI, GAK SELAMANYA INDAH TERUS YG DIDAPET, GAK SELALU UNTUNG TERUS YG DIDAPET. GARANSI SHOPEE CUMA 65% REALNYA.",1,negatif,09 Maret 2021
Haqi,"tarik uang dari shopee ini lamanya minta ampun, nunggu uang masuk ke rekening bisa pergi dulu naik haji, nikah, dan menyelamatkan dunia! heran dah giliran deposit instan tapi pas withdraw berhari-hari~ SANGAT BURUK!",1,negatif,26 Februari 2021
Rafif Maula Fajri,"Halo , pihak shopee Menurut ku Di Shopee itu kurang bagus , saya mau pesan barang tapi alamatnya tidak bisa di rumah sendiri , buat lokasi pakai maps , harusnya kalau mau buat lokasi nya itu ada dua pilihan isi kayak formulir dan maps , ini mah cuman maps aja , apalagi susah di cari , kalau di cari ke refresh lagi , terus kalau ke refresh tuh ke Jakarta lagi maps nya . Dan lagi ongkirnya mahal banget , di Shopee ongkirnya mahal bangetttt , di aplikasi yang lain aja murah banget ongkirnya .",1,negatif,10 Maret 2021
jefry syahfutra,Parah.. Sekarang udah gk bsa gratis ongkir lagi.. Utk jasa kirim tidak bisa milih lagi.. Hanya sedia reguler aja,1,negatif,17 Maret 2021
Iyank Chan,"Aplikasi Tidak Berguna sudah 2x saya pesan barang disini tapi barang saya tidak sampai"" juga blm lagi saya harus di complain sama customer saya kwrna barangnya gak nyampe"" juga sudah saya laporin di email juga di Respon biasa aja! Blm lagi barang yg saya pesan udh di bayar duluan jadinya udh di komplain customer malah ikutan rugi mending uninstall aja aplikasinya!",1,negatif,21 Februari 2021
Shella Olalaa,Kenapa shepee skarang susah banget dipakai........kalau dapat vocer pengguna baru pastii tidak bisa di pakaii ...itu kenapa yaa dulu engak penah gitu sekarang kok gituu ya heran dehh .....padahall itu vocer blom ada yang make kok ada tulisan vocer sudah digunakan terus yang gunain siapa ...........truss kalo mau chekout ituu lemot nya minta ampun padahl sinyal udah buagus bangett kenapaa yaa shopee engak seperti dulu ...duluu nyaman banget pake shopee tapi sekarang kalo make bikin emosi aja,1,negatif,11 Maret 2021
Romadhona Choirun nisa,"Aplikasinya gk lancar dibuka,ribet sekali,pilih2 bekanja tapi petunjuk dikirim je slamat nana tidsk sda,terus gimana, ribet sekali semua langkah2 diikuti tp tetap tudak ada,promo banyak tp tdk fpt digunakan hmmmm",1,negatif,16 Maret 2021
putri att,barang2 nya tidak sesuai dengan yang di pasarkan.. barang rusak kok di kirim .. saya sangat bner2 kecewa dengan barang yang di di terima.. usul saya kalo tidak mau seret rezeki nya jangan jualan dah.. dari pada dosa ..,1,negatif,09 Maret 2021
Abu Hasan,"Udah 3 bulan akun shopi saya tidak bisa dibuka, alasannya peninjauan akun.. kenapa? Bagaimana cara chat agen shopi",1,negatif,09 Maret 2021
Ayu fatimah,Sebenarnya apk ini sangatt jelek 😠 .. pelayanannya lemot kaya siput 😡😡😡 Sebell !!!!!!!!!!!!,1,negatif,06 Maret 2021
Yusuf Muhammad,Kok shopee makin sampah ya min? Hampir 50% sesuatu yg saya cari ga pernah ada si shopee alias diblokir. Mending Tokopedia,1,negatif,16 Maret 2021
Yuliana Febrian,kenapa ga bisa milih jasa kirim sekarang tambah mahal buat penjual biasa jadi susah apalagi musim covid kya gini apa2 susah sekarang mau jualan juga dipersulit😔,1,negatif,16 Maret 2021
Daniel Richard Setiawan,Saya mau beli barang cuma alamatnya aneh bener dah masa saya di bandar lampung cuma katanya lampung timur kan gajelas Makanya pake google maps dong kayak lazada jadi gak emosi,1,negatif,02 Maret 2021
Mesa Gainswara,"Kualitas shopee kurang baik, masa saya mau transaksi ataupun isi saldo selalu error, saya coba hari berikutnya pun tetap error, saya berharap hal ini dapat di tindak lanjuti agar pengguna shopee merasa nyaman utk berbelanja..",1,negatif,16 Maret 2021
Wulan Tuban,Jangan di dowload.!! Pengiriman lama ongkir mahal pelit gratis ongkir.!!!pindah aplikasi lain saja.,1,negatif,17 Maret 2021
17 Hafiz Adi Nugroho,Shopee kok semakin ga jelas ya udah senang dapet voucher gratis ongkir ternyata ga bisa di gunaiin kalau ga niat kasih voucher ga usah ngasih ....,1,negatif,05 Maret 2021
Adi Agung Sedayu,"Tidak bisa memberikan nilai bintang 1 saat ulasan, ketika memberi barang tidak sesuai Di paksa harus memberi nilai bintang 3 keatas",1,negatif,11 Maret 2021
Chau Han,"Mau mendaftar pertama kali,nmer kok bisa sama dng orang lain..aneh banget Gmna mana mau login,klau nmer bisa sma. wah nmer sya buat penipuan ni",1,negatif,03 Maret 2021
Ivan G Gumilar,Splater tolong dong dibenerin Jadi rugi nih saya mau bayar ga bisa terus sampe kelewat dan akhirnya kena denda Gara gara gangguan ga bisa bayar Kode pembayaran ga muncul tetus lewat tfga bisa indomart ga bisa,1,negatif,06 Maret 2021
Vicky Gunawan,"Untuk Pengembalian Dana Ke Rekening Pemilik Terlalu Ribet Harus KTP alamat dan lain.a , setelah KTP terfertivikasi harus daftar.in no rekening bank dulu dan nunggu lagi d vertifikasi. walau emang untuk keamanan tapi kesannya malah sangat menyusahkan pengguna..!!!",1,negatif,02 Maret 2021
Bumi athhar Anwar,Ongkirnya udah mahal dikalimantan kemarin masih murah sekarang udah 84 ribu mending beli ditempat lain kalau mahal Ongki nya begini🌝😏 mana ngga ada pilihan pengiriman nya lagi,1,negatif,16 Maret 2021
Tri Apriliani,"Ini aplikasi gimana sih gk bertanggung jawab banget,kemarin"" aman"" aja sekarang kok udh kacau, pesanan saya udah dari seminggu yg lalu tapi tidak sampai"",dari luar negeri tapi udh sampai Jakarta tapi sampai sekarang di situ"" aja,saya chat penjualnya tapi tidak mau tanggung jawab, padahal saya sudah bayar,saya ini penjual kalo gini caranya saya rugi dong,tolong dong responnya:(",1,negatif,31 Januari 2021
Irma Rahayu,"Shopee makin pelit ga kayak dulu, makin males belanja2 di shopee, gada event menarik, balikin shopee kyk dulu pls omg. Antusias banget pas ada 2.2 eh ternyata cashbacknya dikiiiiittt banget, parah sih shopee, shopee ngerombak2 apk mulu deh, mending benerin kinerjanya!",1,negatif,16 Maret 2021
sanstuye,Saya pesan token listrik sudah bayar masa harus nunggu 4jam buat konfirmasi pesnaan. Yang jelas ganggu sekali keadaan mendesak.,1,negatif,28 Februari 2021
Lasenk Forward,Team shopee ga bisa nanganin maslah OTP.yang akhirnya duit penjualanan di tahan berhari.karena ga bisa daftar rekening terkait masalah OTP. Mohon perhatiannya team pengembang shopee.... Jangan sampai UMKM runtuh karena shopee,1,negatif,02 Maret 2021
Bambang Punto,"Bertahun-tahun pake shopee sekarang males mending pindah ke lapak lain, sekarang tidak bisa milih jasa kirim, mengecewakan",1,negatif,16 Maret 2021
Arya Ichsan,"aplikasinya mudah di hack flassale nya hilang trus pindah pindah, karena ada yang pake bot. mudah banget di hack aplikasinya",1,negatif,05 Maret 2021
Okta Nur,Dulu pernah pasangan aplikasi ini dan sekarang saya coba lagi masih sama aja ribet nya mau memesan barang masang alamat konfirmasi nya eror 💩🥵,1,negatif,01 Maret 2021
azka azfar handoyo,"Aplikasi ini baru awal lounching... Bgus... Bangets, hari berjalan aplikasi banyak pembaruan, dan sampah yg masuk... Tolong shoppe di perbaiki sistem aplikasinya, juga perbaiki ongkir yg sekarang makin mahal, menyulitkan pembeli dalam memilih brang tuk di beli Berat ongkir...",1,negatif,23 Februari 2021
Azizah Mode,Ongkirnya jadi mahal karena gak bisa pilih jasa kirim . Buat kalian yang mau download apk ini mending pikir pikir dulu . Karena ongkirnya mahal ditambah lagi gak bisa pilih jasa kirim . Ongkirnya jadi 2 kali lipat dari biasanya,1,negatif,16 Maret 2021
ademaulana fitroh,"Jadi males cod ada biaya penanganan.. ongkir di Jabodetabek, Mahal juga ..yang lain aja cuma 5000~6000",1,negatif,05 Maret 2021
Andre Setiawan,"Kebijakan Baru shopee membuat pembeli gk bisa memilih jasa kirim, malah ditentukan shopee!! #UNINSTALSHOPEE",1,negatif,16 Maret 2021
Darussalam,"Suka error apalagi pas main di shopee gamenya,pdhl kuota full,tolong diperbaiki lagi biar nyaman main gamenya.",1,negatif,06 Maret 2021
Eka Nurfitriani,Ga jelas banget voucher freong kaga bisa dpake mendadak. Perbaiki lagi kualitasnya Koneksinya juga super lemot banget kalo lagi ada event kayak gitu yang maksimalin doang akses pelanggan. Susah banget mau checkout juga. Gimana sih ini marketplace besar juga tapi buruk banget aksesnya,1,negatif,04 Maret 2021
Eni Sulistyani,"Agak kecewa dengan apk shopee yg sekarang. Dulu pernah download tapi terus hp ke restart. Terus pas download lagi apknya malah gak bisa login. Padahal udah di update, daftar pake akun baru pun gak mau. Tolong ini gimana pihak shopee. Lama-lama kalo gak bisa login juga uninstal sepenuhnya dari hp saya. *Penilaian : SANGAT KECEWA!!!!*",1,negatif,29 Januari 2021
Safuan Dami,"Sangat burukkk.. Mau tambah lokasi aja susah nya minta ampun. Pdhl jelas"" Pin lokasi sudah benar.",1,negatif,11 Maret 2021
Acep Toha,"Jambore apaan, appsnya ngelag ga bisa di buka, payah. Kalo yg pengiriman lama jangan di ikut sertakan.",1,negatif,12 Maret 2021
arish yoshi,"Kecewa berat, makin hari makin ribet dah, sehari cuma 2x pake vocer, ni tambah lagi g bisa pake freeong hadeh parah2",1,negatif,16 Maret 2021
Rizal fauzi,Shopee sekarang eneh masa muncul logo cod nya hanya produk ke 1 terus udah daftar gratis ongkir extra 2 minggu tiap hari chat ke shopee jawaban nya gitu2 aja mau jualan banyak banget habatannya tolong diperbaikiii,1,negatif,14 Maret 2021
Ramlan Maulanabaehaqi,"makin payah aja , org d sini gak pernah telat bayar tp kok limit jd gak bisa d pake ngapain kasih limit gede klo gak bisa d pake",1,negatif,11 Maret 2021
Raden Purbalingga,Nyesel download aplikasi ini. Dari kemarin log in gak bisa bisa. Nunggu kode OTP gak muncul muncul... Nyesel bgt nyesel bgt. Di perbaiki dong aplikasi nya biar simple dan mudah... Buang waktu dan kouta aja... Contoh dong aplikasi Tokopedia dan LAZADA. Gak pake ribet kalo mau log in dan daftar...,1,negatif,11 Maret 2021
sofyan al,Kenapa saldo shopepay saya tidak bisa di gunakan padahal saldonya sudah mencukupi.. bagaimana ini dari pihak shopee tolong konfirmasinya,1,negatif,05 Maret 2021
Dinda Ku,"Aku saranin bagi para pengguna yg menggunakan aplikasi jgn mau download shoppe buktinya sy pengguna baru mengalami kendala masukin alamat doang, gmn mau belanja.... Iklannya aj bagus tp aplikasinya jelek banget.... Tim CS shoppe ga usa bales dgn alasan clear cache dululah, signal hrus stabil lah,,, balasan anda tuh dr mesin sy tau,,, jadi BASIHLAH MENDING DI HAPUS AJ APLIKASI INI, MENDING DI BLIBLI PROMONYA SEDIKT TP PALING GA TERPERCAYA DAN MEMUDAHKAN ORG BERBELANJA",1,negatif,14 Maret 2021
Ayudia Luthfiana,Hallo ka shope kak ini saya mau bikin toko ko untuk ongkir nya tidak bisa sih ka jadi saya ngga bisa buat toko di shoppe tolong gmn ya ini?,1,negatif,02 Maret 2021
Farel Syahputra,"Shope kenapa ini saya login gabisa bisa mau bayar utang harus vervikasi nomer mulu padahal kata sandi dan alamat akun nya ga lupaa tolong admin udah di updet tetep ajah gabisa , bisa nya kita harus verivikasi nomer dulu tolong admin",1,negatif,04 Maret 2021
astuti ningrahayu,Asli parah shopee express Lelet Lambat..jasa pengiriman lain sudah sampai paketnya..ini shopee express Masih stagnan pas diLacak..!!!!🤬🤬🤬,1,negatif,02 Maret 2021
gie gamer,"Udh coba beberapa produk kenapa jadi gak bisa pakai JNT,, padahal kemarin"" bisa,, maaf bintangnya saya turunin,",1,negatif,16 Maret 2021
Ayla 01,Shopee makin lama makin aneh dulu pengguna baru bisa pakai voucher gratis ongkir selama sebulan tapi sekarang cuman satu kali doang😒😒😒,1,negatif,06 Maret 2021
Wella Cosuya,Balikin lagi dong opsi pilihan pengirimannya. Gak enak banget gak bisa pilih ongkir yg murah!!!!! Harus pake yg direcomendasiin shopee. Mana ID EXPRESS JARANG DI RECOMENDED IN. DUUH!!!!!,1,negatif,16 Maret 2021
Putrii Regina,"Gmna lah saya kan mau belanja shoope menggunakan vocer 0 tapi gabisa, padahal saya sudah menggunakan nomor handphone baru tapi tetep gabisa gmna nih kak! Masa iyaa nomor handphone nya baru harus menggunakan handphone yg belum terdaftar shoope jugaa(hp baru) tolong penjelasanya kak🙏",1,negatif,07 Maret 2021
Rudi Anto,Aplikasi bagis TAPI INGAT HATI HATI belanja di alpikasi ini udah ada opnum yang yang mengatasnamakan shoopy untuk menipu .....semoga shoopy meningkatkan keamananya...biar korban ngak semakin banyak....,1,negatif,10 Maret 2021
Lisya Maudi,"Awalnya bagus banget ya sampe tahun lalu saya kasih bintang 5. Tapi pas muncul ""shopee emas"" tertarik bgt nih saya nabung yg mudah kan, akhirnya mulai nyoba beli emas. Selama 2 minggu berturut2 beli disuruh nunggu lama smpe proses beli selesai eh malah gagal terus saldo dibalikin. Kalo masih trial mendingan jangan di launching dong. Masa jawaban cs lagi perbaikan mulu. Pihak IT selama itukah 2 minggu perbaikan? Kalian perbaikan atau bikin ulang sistem? Hadeh",1,negatif,11 Maret 2021
M. Luckyansyah,apk ini bagus rekomented banget tapi untuk ongkir aja perasaan yg paling mahal di banding apk yg lain.terima kasih tolong di tingkat kan lagi yah,1,negatif,27 Februari 2021
Ramadhan Kurnia Putra,"Ini kenapa kok opsi pilih jasa pengirimannya disesuaikan sm shopee sendiri, saya udh sering belanja di shopee sekarang malah jadi males",1,negatif,16 Maret 2021
sang_pendo'a,"Tolong di perbaiki , lemot,gambar lama tampil nya, pengiriman shopee expes juga lama, bisa 4/5 hari",1,negatif,16 Maret 2021
I Ketut Astika,Tolong dong sistem voucher gratis ongkir shopee pay di ubah.misalnya sy belanja 70rb dan saya menggunakan voucher gratis ongkir min belanja 50rb dengan metode pembayaran shopee pay.masak saya punya shopee pay 80rb tapi ongkir tetap kena karena metode pembayaran nya gk bisa milih shopee pay karena 70+40(ongkir) lebih dari shopee pay yg saya punya.masaksaya harus beli shopee pay 110rb baru bisa milih metode pembayaran shopee pay.Jadi tolong pembayaran shopee pay bisa di pilih walau nominal kurang,1,negatif,16 Maret 2021
